_Version,_OID,_use,_name,_mjd,_sol,_ra,_dec,_vg,_type,_a,_q,_e,_peri,_node,_incl,_M,_T/e,_r_sd,_v_sd,_Hb,_He,_zr,_mag,_mass,_memo
501,4000000751,1,_TO_new_KPA,57586.17569,114.800003,282.299988,-66.900002,18.9,0,3.185053,0.874563,0.725416,48.068653,294.795046,21.285758,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000752,1,_TO_new_OCY,57588.67532,117.199997,304.5,49.700001,39.400002,0,-7.976388,0.925373,1.116014,213.838356,117.178482,61.142603,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000753,1,_TO_new_PAU,57605.41501,133.191345,352.790436,-20.442949,42.838192,0,2.825246,0.115246,0.959208,144.142096,313.180004,57.163952,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000754,1,_TO_new_GDR,57597.17581,125.300003,280.100006,51.099998,27.4,0,22.972658,0.979524,0.957361,201.918406,125.294823,40.359743,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000755,1,_TO_new_DBA,57571.18029,100.5,15,37.5,26,0,0.600351,0.140241,0.766403,9.287778,100.494331,58.250589,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000756,1,_TO_new_EUM,57576.92248,106,192.5,61.700001,15.2,0,2.752631,0.987566,0.641228,157.912508,105.970486,20.236673,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000757,1,_TO_new_PCA,57576.92248,106,29.4,71.5,40.299999,0,3.869733,0.795581,0.794409,120.577845,105.970529,68.509242,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000758,1,_TO_new_XRI,57589.21478,117.699997,94.400002,15,44,0,-35.490447,0.107636,1.003033,218.238636,297.693606,28.082219,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000759,1,_TO_new_DMC,57597.88601,126,122.699997,22.4,24.299999,0,1.954894,0.476025,0.756496,76.507445,125.974664,2.085747,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000760,1,_TO_new_Mon,57731.48397,257.588074,100.066101,8.180915,41.162338,0,8.430895,0.184188,0.978153,130.098889,77.602476,35.430132,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000761,1,_TO_new_BPE,57607.71149,135.399994,52.799999,40.200001,66.199997,0,28.852752,0.863477,0.970073,134.304041,135.381027,142.754986,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000762,1,_TO_new_ERI,57610.05846,137.632736,44.536545,-11.666629,64.045448,0,11.253211,0.955156,0.915121,28.449734,317.630948,132.331525,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000763,1,_TO_new_TRI,57612.31057,139.800003,37.5,30.700001,57.299999,0,1.053875,0.878438,0.166469,266.120285,139.792507,149.925768,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000764,1,_TO_new_ZAR,57618.75406,146,49.700001,14.2,70.099998,0,12.96417,0.986878,0.923877,18.519664,325.980287,173.147296,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000765,1,_TO_new_UCE,57618.75406,146,38.599998,-2.8,61,0,2.44733,0.630351,0.742433,83.404767,325.981605,144.630279,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000766,1,_TO_new_BIN,57630.48089,157.300003,342.799988,-51.700001,14.1,0,1.771384,0.869083,0.509377,54.009534,337.291464,15.664835,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000767,1,_TO_new_NPH,57601.75856,129.699997,20,-43,44,0,3.716581,0.684733,0.815763,73.984776,309.678362,77.188246,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000768,1,_TO_new_AUD,57614.59485,142,272.5,65.099998,17.299999,0,1.531106,1.011629,0.339282,185.570789,141.984406,30.341733,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000769,1,_TO_new_BHY,57616.47218,143.800003,36.299999,-74.5,22.799999,0,3.211728,0.965496,0.699384,27.472956,323.788692,34.963966,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000770,1,_TO_new_ADC,57618.75406,146,328.700012,-16,21.6,0,2.260237,0.583784,0.741716,89.638193,325.986697,2.265698,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000771,1,_TO_new_STA,57693.95824,219.711349,50.071411,13.368618,27.227669,0,1.993641,0.374838,0.811983,112.865089,39.72902,5.342592,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000772,1,_TO_new_COM,57739.446,265.682587,159.709732,31.572981,62.968403,0,10.032071,0.569754,0.943207,262.374826,265.696616,134.155192,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000773,1,_TO_new_ESE,57623.94461,151,287.700012,-3.7,8.6,0,1.825908,0.959904,0.474287,212.552705,150.979064,4.487523,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000774,1,_TO_new_GDO,57628.81884,155.699997,61.200001,-50.200001,40.099998,0,37.582254,0.970175,0.974185,23.046309,335.68417,65.747723,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000775,1,_TO_new_ZCA,57619.79301,147,119.699997,19,43.799999,0,3.604085,0.039598,0.989013,201.187023,326.982262,8.534222,0,0,0,0,0,0,0,0,0,_
