code,streamname,sol_1,sol2,sol_peak,SelectStart,SelectEnd
VEL,Puppid-Velids II Complex,281,311,296,,
XAU,xi Aurigids,143,173,158,,
XCB,xi Coronae Borealids,279.5,309.5,294.5,,
XCE,xi Cetids,271.299988,301.299988,286.299988,,
XDR,xi Draconids,195.800003,225.800003,210.800003,,
XHE,x Herculids,337,7,352,,
XIC,Dayt. xi Cetids,39,69,54,,
XLI,April chi Librids,24,54,39,,
XRI,Dayt. xi Orionids,102.699997,132.699997,117.699997,,
XSA,Dayt. xi Sagittariids,289.899994,319.899994,304.899994,,
XUM,Xi Ursae Majorids,296.770844,306.286835,300.601563,,
XVI,December Chi Virginids,246.121323,266.383453,256.710175,,
ZAR,zeta Arietids,131,161,146,,
ZCA,Dayt. zeta Cancrids,132,162,147,,
ZCN,zeta Cancrids,210,240,225,,
ZCS,zeta Cassiopeiids,98.199997,128.199997,113.199997,,
ZCY,zeta Cygnids,5,35,20,,
ZDR,zeta Draconids,107,137,122,,
ZED,July zeta Draconids,100.699997,130.699997,115.699997,,
ZER,zeta Eridanids,78,108,93,,
ZOP,zeta Ophiuchids,32,62,47,,
ZPE,Dayt. zeta Perseids,63.599998,93.599998,78.599998,,
ZPU,zeta Puppids,239.699997,269.700012,254.699997,,
ZSE,zeta Serpentids,350,20,5,,
ZTA,zeta Taurids,181,211,196,,
